id,temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,sismicite,concentration_gaz,pluie_totale,catastrophe,Month,Day,quartier_1,quartier_2,quartier_3,quartier_4,quartier_5
0,0.46578947368421053,0.8723702664796634,0.08653846153846154,0.07465277777777778,0.0,0.45714285714285713,0.6579921929736764,0.1823119317443012,aucun,1,1,1,0,0,0,0
1,0.46578947368421053,0.8723702664796634,0.08653846153846154,0.07465277777777778,0.0,0.9142857142857141,0.7412671404263836,0.9033077607849807,seisme,1,1,0,1,0,0,0
2,0.46578947368421053,0.8723702664796634,0.08653846153846154,0.07465277777777778,0.0,0.9285714285714286,0.7029826844159744,0.3630435000050012,seisme,1,1,0,0,1,0,0
3,0.46578947368421053,0.8723702664796634,0.08653846153846154,0.07465277777777778,0.0,0.12857142857142861,0.2953658292463217,0.47393900597137345,aucun,1,1,0,0,0,1,0
4,0.46578947368421053,0.8723702664796634,0.08653846153846154,0.07465277777777778,0.0,0.1571428571428572,0.21624462015814228,0.47572941776608624,innondation,1,1,0,0,0,0,1
5,0.6513157894736842,0.9032258064516129,0.03846153846153846,0.010416666666666666,0.0,0.5142857142857145,0.8840956861175059,0.6060093821578963,seisme,1,1,1,0,0,0,0
6,0.6513157894736842,0.9032258064516129,0.03846153846153846,0.010416666666666666,0.0,0.3428571428571429,0.4103192873586228,0.08410934514938435,innondation,1,1,0,1,0,0,0
7,0.6513157894736842,0.9032258064516129,0.03846153846153846,0.010416666666666666,0.0,0.6285714285714286,0.3864478030227205,0.16171719495483963,aucun,1,1,0,0,1,0,0
8,0.6513157894736842,0.9032258064516129,0.03846153846153846,0.010416666666666666,0.0,0.10000000000000003,0.37713942548293466,0.1034938035748222,aucun,1,1,0,0,0,1,0
9,0.6513157894736842,0.9032258064516129,0.03846153846153846,0.010416666666666666,0.0,0.28571428571428575,0.13527174457011304,0.5603888894445723,aucun,1,1,0,0,0,0,1
10,0.781578947368421,0.4950911640953717,0.09294871794871795,0.10069444444444445,0.0,0.8857142857142857,0.5254228805925333,0.6965201996459186,seisme,10,1,1,0,0,0,0
11,0.781578947368421,0.4950911640953717,0.09294871794871795,0.10069444444444445,0.0,0.7714285714285714,0.9972475227704937,0.3317062924472629,seisme_et_inondation,10,1,0,1,0,0,0
12,0.781578947368421,0.4950911640953717,0.09294871794871795,0.10069444444444445,0.0,0.8,0.5653087779001101,0.5690508817027916,seisme,10,1,0,0,1,0,0
13,0.781578947368421,0.4950911640953717,0.09294871794871795,0.10069444444444445,0.0,0.3428571428571429,0.23921529376438788,0.3213339067985637,innondation,10,1,0,0,0,1,0
14,0.781578947368421,0.4950911640953717,0.09294871794871795,0.10069444444444445,0.0,0.2571428571428572,0.4086177559803823,0.6635826240035207,innondation,10,1,0,0,0,0,1
15,0.7460526315789473,0.5666199158485273,0.19871794871794873,0.20833333333333334,0.0,0.28571428571428575,0.6009908918026222,0.5887454114446323,aucun,10,1,1,0,0,0,0
16,0.7460526315789473,0.5666199158485273,0.19871794871794873,0.20833333333333334,0.0,0.35714285714285726,0.2520268241417275,0.7441911639677126,innondation,10,1,0,1,0,0,0
17,0.7460526315789473,0.5666199158485273,0.19871794871794873,0.20833333333333334,0.0,0.35714285714285726,0.5504954459013113,0.7204857117136941,aucun,10,1,0,0,1,0,0
18,0.7460526315789473,0.5666199158485273,0.19871794871794873,0.20833333333333334,0.0,0.3428571428571429,0.26744069662696435,0.11876731648279105,innondation,10,1,0,0,0,1,0
19,0.7460526315789473,0.5666199158485273,0.19871794871794873,0.20833333333333334,0.0,0.05714285714285722,0.2429186267640877,0.8661392120187643,innondation,10,1,0,0,0,0,1
20,0.5868421052631578,0.6900420757363255,0.17948717948717952,0.20833333333333334,0.0,0.39999999999999997,0.3291462316084476,0.5654800604138952,aucun,11,1,1,0,0,0,0
21,0.5868421052631578,0.6900420757363255,0.17948717948717952,0.20833333333333334,0.0,0.3714285714285715,0.8958062256030427,0.1192074177060724,aucun,11,1,0,1,0,0,0
22,0.5868421052631578,0.6900420757363255,0.17948717948717952,0.20833333333333334,0.0,0.5285714285714287,0.5427384646181564,0.1350710663452594,seisme,11,1,0,0,1,0,0
23,0.5868421052631578,0.6900420757363255,0.17948717948717952,0.20833333333333334,0.0,0.18571428571428578,0.04033630267240518,0.9261230082919072,innondation,11,1,0,0,0,1,0
24,0.5868421052631578,0.6900420757363255,0.17948717948717952,0.20833333333333334,0.0,0.14285714285714296,0.4038134320888801,0.6900187043019895,innondation,11,1,0,0,0,0,1
25,0.7342105263157894,0.6367461430575035,0.11217948717948717,0.10416666666666667,0.0,0.5571428571428572,0.7888599739765788,0.553377276773658,seisme,11,1,1,0,0,0,0
26,0.7342105263157894,0.6367461430575035,0.11217948717948717,0.10416666666666667,0.0,0.7857142857142856,0.6509858872985687,0.6728547565940166,seisme,11,1,0,1,0,0,0
27,0.7342105263157894,0.6367461430575035,0.11217948717948717,0.10416666666666667,0.0,0.5857142857142856,0.5815233710339306,0.663182531982356,seisme,11,1,0,0,1,0,0
28,0.7342105263157894,0.6367461430575035,0.11217948717948717,0.10416666666666667,0.0,0.1571428571428572,0.008007206485837304,0.3802474569150905,aucun,11,1,0,0,0,1,0
29,0.7342105263157894,0.6367461430575035,0.11217948717948717,0.10416666666666667,0.0,0.3428571428571429,0.13812431188069263,0.5010552427058224,aucun,11,1,0,0,0,0,1
30,0.625,0.8036465638148669,0.2307692307692308,0.2534722222222222,0.33333333333333337,0.3285714285714287,0.3441597437693924,0.12807945827540335,aucun,12,1,1,0,0,0,0
